crop,category,N,P,K,temperature,humidity,ph,rainfall,soil_type,season,water_avail,state
okra,vegetable,32.0,46.0,55.0,27.5,76.5,7.27,77.2,sandy,kharif,irrigated,Gujarat
coffee,plantation,53.0,35.0,29.0,26.7,62.8,6.66,204.0,loamy,kharif,irrigated,Odisha
wheat,cereal,142.0,68.0,45.0,14.5,50.7,7.06,89.4,loamy,rabi,rainfed,Uttar Pradesh
cotton,cash,62.0,43.0,39.0,28.0,69.8,7.48,62.8,alluvial,kharif,rainfed,Gujarat
tobacco,cash,39.0,55.0,30.0,30.3,51.6,5.58,102.5,alluvial,rabi,rainfed,Telangana
watermelon,horticulture,56.0,46.0,57.0,34.1,57.5,7.03,82.5,loamy,kharif,irrigated,Andhra Pradesh
tapioca,horticulture,60.0,54.0,123.0,19.3,82.7,7.18,201.9,loamy,kharif,rainfed,Karnataka
okra,vegetable,63.0,45.0,47.0,25.6,84.0,6.51,102.7,sandy,kharif,irrigated,Bihar
ragi,millet,58.0,32.0,40.0,16.4,78.0,6.28,105.6,loamy,kharif,rainfed,Uttarakhand
okra,vegetable,30.0,41.0,51.0,23.4,64.4,6.25,69.6,loamy,zaid,rainfed,West Bengal
sesame,oilseed,21.0,27.0,36.0,25.0,60.2,5.64,80.2,loamy,kharif,rainfed,West Bengal
tomato,vegetable,82.0,70.0,68.0,17.7,69.4,6.06,57.4,loamy,rabi,irrigated,Karnataka
jasmine,flower,44.0,42.0,42.0,27.6,67.3,7.39,107.9,loamy,kharif,irrigated,Tamil Nadu
banana,horticulture,76.0,61.0,110.0,22.2,86.2,6.73,116.3,red,kharif,rainfed,Maharashtra
grapes,horticulture,29.0,25.0,35.0,30.3,56.6,6.69,84.9,loamy,rabi,irrigated,Maharashtra
horsegram,pulse,25.0,22.0,15.0,27.5,63.3,6.89,73.5,loamy,kharif,rainfed,Tamil Nadu
maize,cereal,64.0,31.0,45.0,20.3,57.1,6.03,76.1,red,rabi,rainfed,Bihar
cocoa,plantation,29.0,32.0,52.0,31.8,73.7,6.78,164.9,loamy,kharif,irrigated,Karnataka
castor,oilseed,61.0,41.0,53.0,30.1,73.7,8.48,82.7,loamy,kharif,irrigated,Tamil Nadu
tapioca,horticulture,89.0,61.0,96.0,36.7,84.1,6.34,155.0,laterite,kharif,rainfed,Tamil Nadu
chilli,spice,80.0,63.0,78.0,20.2,70.9,6.97,64.3,black,kharif,rainfed,Maharashtra
pepper,spice,39.0,24.0,90.0,20.1,84.3,5.57,287.9,loamy,kharif,rainfed,Assam
maize,cereal,79.0,45.0,71.0,21.0,56.6,6.16,95.4,loamy,kharif,rainfed,Karnataka
cauliflower,vegetable,74.0,73.0,75.0,18.8,91.7,7.46,92.4,alluvial,rabi,rainfed,Maharashtra
cocoa,plantation,31.0,41.0,58.0,21.2,77.0,6.07,163.3,loamy,kharif,rainfed,Kerala
pineapple,horticulture,32.0,38.0,62.0,32.8,94.0,5.4,264.4,loamy,kharif,rainfed,Manipur
ginger,spice,43.0,43.0,90.0,28.5,76.0,6.12,175.6,loamy,kharif,rainfed,Odisha
sesame,oilseed,34.0,46.0,28.0,34.4,48.6,7.87,66.4,loamy,kharif,rainfed,Andhra Pradesh
coffee,plantation,53.0,27.0,54.0,18.9,70.5,7.33,167.2,red,kharif,rainfed,Andhra Pradesh
kidneybeans,pulse,23.0,73.0,36.0,27.5,55.9,6.64,95.0,alluvial,kharif,rainfed,Uttarakhand
mustard,oilseed,104.0,41.0,40.0,9.7,57.8,6.8,71.9,loamy,rabi,rainfed,Madhya Pradesh
brinjal,vegetable,49.0,57.0,67.0,20.5,51.5,7.33,105.2,loamy,rabi,irrigated,Gujarat
guava,horticulture,37.0,42.0,32.0,23.8,67.5,5.99,134.8,alluvial,kharif,rainfed,Allahabad
castor,oilseed,46.0,28.0,30.0,30.1,63.4,7.05,47.4,alluvial,kharif,rainfed,Tamil Nadu
tea,plantation,42.0,22.0,28.0,16.4,86.0,4.58,212.3,loamy,kharif,irrigated,West Bengal
apple,horticulture,22.0,20.0,25.0,13.8,74.1,5.7,124.5,loamy,rabi,irrigated,Jammu & Kashmir
horsegram,pulse,15.0,34.0,26.0,29.9,55.6,6.8,62.2,red,kharif,rainfed,Karnataka
coffee,plantation,73.0,40.0,52.0,23.2,90.6,6.1,207.1,red,kharif,rainfed,Karnataka
ginger,spice,57.0,49.0,72.0,23.9,73.0,7.29,97.9,alluvial,kharif,rainfed,Kerala
pomegranate,horticulture,38.0,37.0,24.0,30.2,63.8,6.93,55.3,loamy,kharif,rainfed,Karnataka
turmeric,spice,78.0,71.0,78.0,29.8,67.6,6.41,170.9,loamy,kharif,irrigated,Telangana
cardamom,spice,32.0,24.0,47.0,21.9,75.7,6.68,207.2,red,kharif,rainfed,Tamil Nadu
ginger,spice,42.0,56.0,46.0,28.0,65.1,6.43,152.6,loamy,kharif,irrigated,Meghalaya
ginger,spice,86.0,39.0,78.0,30.5,85.1,5.68,194.9,alluvial,kharif,irrigated,Karnataka
pomegranate,horticulture,42.0,22.0,37.0,40.5,33.2,7.69,66.2,alluvial,kharif,irrigated,Gujarat
onion,vegetable,40.0,36.0,70.0,20.0,67.5,7.07,78.9,alluvial,rabi,rainfed,Karnataka
chilli,spice,82.0,48.0,50.0,24.4,67.6,7.08,99.3,black,kharif,irrigated,Andhra Pradesh
sapota,horticulture,22.0,37.0,29.0,32.1,82.4,7.42,119.4,alluvial,kharif,rainfed,Karnataka
jute,cash,75.0,39.0,57.0,26.4,85.8,7.13,211.3,loamy,kharif,irrigated,Assam
cotton,cash,64.0,36.0,72.0,25.9,79.9,7.02,68.8,black,kharif,irrigated,Maharashtra
wheat,cereal,109.0,61.0,64.0,15.7,72.7,6.97,49.8,loamy,rabi,rainfed,Madhya Pradesh
okra,vegetable,39.0,35.0,41.0,29.3,76.9,7.34,116.5,sandy,zaid,rainfed,Gujarat
cabbage,vegetable,112.0,68.0,60.0,11.8,61.0,6.58,80.1,clay,rabi,rainfed,West Bengal
coriander,spice,49.0,46.0,24.0,21.4,46.4,6.87,58.0,sandy,rabi,irrigated,Rajasthan
marigold,flower,43.0,72.0,52.0,20.8,68.8,6.01,94.1,loamy,rabi,irrigated,Karnataka
maize,cereal,93.0,31.0,68.0,24.1,79.1,6.83,56.4,loamy,rabi,rainfed,Andhra Pradesh
cotton,cash,103.0,28.0,57.0,27.6,57.5,6.6,90.7,alluvial,kharif,irrigated,Gujarat
tobacco,cash,36.0,54.0,43.0,31.4,56.0,5.52,91.9,loamy,rabi,irrigated,Telangana
cowpea,pulse,15.0,48.0,23.0,29.1,72.7,5.96,63.0,red,zaid,irrigated,Rajasthan
horsegram,pulse,25.0,25.0,27.0,34.4,68.3,7.21,68.3,laterite,rabi,rainfed,Karnataka
marigold,flower,74.0,38.0,71.0,17.1,80.6,6.54,65.0,sandy,rabi,rainfed,Andhra Pradesh
muskmelon,horticulture,37.0,39.0,32.0,24.9,73.4,6.4,76.4,loamy,zaid,irrigated,Haryana
banana,horticulture,79.0,49.0,92.0,32.5,69.0,5.69,219.8,loamy,kharif,rainfed,Andhra Pradesh
marigold,flower,62.0,55.0,53.0,28.2,72.7,6.91,100.9,sandy,kharif,irrigated,Maharashtra
sapota,horticulture,38.0,19.0,29.0,24.2,74.1,7.04,131.7,loamy,kharif,irrigated,Gujarat
tapioca,horticulture,107.0,55.0,114.0,26.2,67.0,7.43,145.3,laterite,kharif,rainfed,Kerala
rubber,plantation,21.0,16.0,25.0,26.0,98.3,6.43,241.0,laterite,kharif,irrigated,Kerala
okra,vegetable,53.0,59.0,57.0,28.9,55.4,7.4,67.6,alluvial,kharif,rainfed,Andhra Pradesh
papaya,horticulture,48.0,29.0,55.0,24.2,80.4,6.45,123.5,alluvial,kharif,irrigated,Gujarat
jute,cash,61.0,43.0,42.0,35.5,91.0,7.49,170.5,loamy,kharif,irrigated,West Bengal
cotton,cash,90.0,48.0,61.0,34.1,69.6,6.37,92.2,loamy,kharif,rainfed,Maharashtra
sesame,oilseed,40.0,35.0,36.0,37.4,73.3,7.0,54.3,red,kharif,rainfed,Andhra Pradesh
mustard,oilseed,87.0,39.0,37.0,15.9,51.6,6.74,75.4,alluvial,rabi,rainfed,Rajasthan
turmeric,spice,46.0,59.0,104.0,31.8,85.4,5.89,174.4,loamy,kharif,rainfed,Telangana
guava,horticulture,32.0,30.0,44.0,18.7,79.5,6.79,83.6,sandy,kharif,rainfed,Karnataka
pepper,spice,30.0,18.0,96.0,30.9,84.3,5.7,312.7,red,kharif,rainfed,Assam
mothbeans,pulse,24.0,30.0,25.0,33.2,41.8,8.74,42.2,loamy,kharif,rainfed,Rajasthan
jasmine,flower,62.0,61.0,47.0,28.8,73.1,6.91,93.6,alluvial,kharif,rainfed,Andhra Pradesh
tobacco,cash,56.0,28.0,35.0,29.7,55.7,6.79,87.3,sandy,rabi,irrigated,Telangana
jute,cash,61.0,51.0,58.0,28.3,92.9,6.95,214.2,alluvial,kharif,rainfed,West Bengal
maize,cereal,94.0,35.0,50.0,31.5,71.8,6.56,77.5,alluvial,kharif,rainfed,Madhya Pradesh
papaya,horticulture,77.0,40.0,57.0,33.3,67.0,6.56,107.0,alluvial,kharif,rainfed,Karnataka
jute,cash,62.0,49.0,43.0,29.0,75.6,6.71,191.8,alluvial,kharif,rainfed,Meghalaya
marigold,flower,46.0,37.0,50.0,28.6,71.3,6.88,114.6,loamy,rabi,irrigated,Tamil Nadu
papaya,horticulture,85.0,39.0,51.0,39.5,81.5,6.03,98.2,loamy,kharif,irrigated,Maharashtra
arecanut,plantation,39.0,21.0,60.0,27.9,82.8,6.57,262.8,alluvial,kharif,irrigated,Karnataka
ragi,millet,71.0,32.0,38.0,28.7,86.3,6.2,114.1,red,kharif,irrigated,Karnataka
wheat,cereal,124.0,73.0,56.0,19.6,70.3,7.41,52.7,loamy,rabi,rainfed,Uttar Pradesh
sapota,horticulture,36.0,16.0,59.0,31.2,75.3,6.63,125.7,alluvial,kharif,rainfed,Karnataka
apple,horticulture,38.0,23.0,34.0,10.0,68.3,6.87,120.4,loamy,rabi,rainfed,Arunachal Pradesh
sesame,oilseed,30.0,39.0,31.0,37.9,55.6,7.06,78.1,red,kharif,rainfed,Rajasthan
papaya,horticulture,51.0,44.0,48.0,24.4,59.7,6.07,137.2,sandy,kharif,irrigated,Karnataka
cashew,plantation,20.0,20.0,27.0,28.6,67.8,6.52,151.9,laterite,kharif,irrigated,Maharashtra
cowpea,pulse,15.0,34.0,26.0,29.6,68.7,5.58,94.8,loamy,zaid,rainfed,Andhra Pradesh
wheat,cereal,113.0,70.0,65.0,17.9,50.4,6.81,67.4,black,rabi,irrigated,Punjab
horsegram,pulse,12.0,31.0,30.0,27.9,63.7,5.69,54.1,red,rabi,rainfed,Karnataka
sunflower,oilseed,106.0,60.0,58.0,25.4,73.9,6.38,73.2,black,kharif,irrigated,Andhra Pradesh
banana,horticulture,100.0,54.0,90.0,28.2,79.8,6.01,132.9,loamy,kharif,irrigated,Andhra Pradesh
onion,vegetable,56.0,46.0,70.0,24.7,68.5,6.98,104.5,loamy,rabi,irrigated,Madhya Pradesh
guava,horticulture,34.0,25.0,28.0,27.5,72.1,5.07,147.9,alluvial,kharif,rainfed,Karnataka
cabbage,vegetable,120.0,42.0,55.0,11.7,60.9,6.73,95.6,alluvial,rabi,irrigated,Odisha
cashew,plantation,27.0,16.0,16.0,20.2,75.0,6.55,144.8,sandy,kharif,irrigated,Kerala
pigeonpeas,pulse,31.0,50.0,51.0,32.5,74.3,6.06,57.3,alluvial,kharif,rainfed,Andhra Pradesh
cardamom,spice,32.0,31.0,36.0,16.8,73.6,5.65,278.4,loamy,kharif,rainfed,Arunachal Pradesh
turmeric,spice,54.0,45.0,107.0,25.6,90.2,5.46,190.3,loamy,kharif,rainfed,Tamil Nadu
wheat,cereal,97.0,62.0,57.0,17.7,58.2,6.61,81.6,black,rabi,rainfed,Rajasthan
potato,vegetable,121.0,66.0,97.0,19.0,70.1,5.68,86.9,loamy,rabi,rainfed,Gujarat
jasmine,flower,43.0,31.0,54.0,35.0,79.3,6.52,81.2,loamy,kharif,irrigated,Karnataka
mothbeans,pulse,14.0,34.0,21.0,29.8,38.2,7.98,29.8,loamy,kharif,rainfed,Haryana
cocoa,plantation,22.0,36.0,53.0,32.5,89.9,6.27,183.0,laterite,kharif,irrigated,Karnataka
cocoa,plantation,27.0,42.0,41.0,28.8,88.2,6.43,188.1,laterite,kharif,rainfed,Tamil Nadu
chilli,spice,50.0,69.0,60.0,27.2,65.6,6.17,72.8,loamy,rabi,rainfed,Andhra Pradesh
cotton,cash,92.0,51.0,61.0,33.5,71.1,6.75,113.3,loamy,kharif,rainfed,Haryana
orange,horticulture,38.0,27.0,18.0,25.3,52.2,6.66,129.8,alluvial,rabi,rainfed,Rajasthan
papaya,horticulture,64.0,31.0,68.0,25.9,57.9,6.32,148.1,sandy,kharif,rainfed,Andhra Pradesh
kidneybeans,pulse,33.0,66.0,33.0,22.1,71.2,7.43,90.4,alluvial,kharif,rainfed,Jammu & Kashmir
jute,cash,63.0,31.0,56.0,33.3,75.6,6.49,171.4,alluvial,kharif,rainfed,Assam
grapes,horticulture,41.0,29.0,56.0,30.3,69.7,6.8,75.1,red,rabi,irrigated,Tamil Nadu
cotton,cash,58.0,52.0,40.0,31.0,53.2,7.48,59.2,black,kharif,irrigated,Gujarat
jasmine,flower,33.0,59.0,38.0,32.4,65.5,7.34,155.1,sandy,kharif,rainfed,Tamil Nadu
cocoa,plantation,37.0,30.0,59.0,33.0,90.5,6.11,162.3,laterite,kharif,irrigated,Tamil Nadu
orange,horticulture,41.0,27.0,38.0,29.6,65.7,5.99,157.0,alluvial,rabi,rainfed,Meghalaya
rice,cereal,141.0,64.0,55.0,36.4,72.2,5.74,286.8,alluvial,kharif,rainfed,Assam
soybean,oilseed,35.0,94.0,46.0,18.6,77.0,6.27,88.7,alluvial,kharif,irrigated,Madhya Pradesh
lentil,pulse,23.0,40.0,19.0,24.5,66.6,6.92,30.2,black,rabi,rainfed,Uttar Pradesh
mothbeans,pulse,10.0,26.0,17.0,40.4,24.6,8.65,49.5,sandy,kharif,rainfed,Rajasthan
castor,oilseed,32.0,39.0,59.0,21.9,72.5,7.69,100.5,loamy,kharif,rainfed,Tamil Nadu
cashew,plantation,27.0,16.0,24.0,22.4,51.7,5.77,164.3,loamy,kharif,rainfed,Andhra Pradesh
jowar,millet,55.0,27.0,34.0,29.9,52.8,7.65,65.1,red,rabi,rainfed,Madhya Pradesh
pepper,spice,65.0,19.0,59.0,32.2,87.2,6.85,266.3,red,kharif,rainfed,Kerala
chilli,spice,72.0,43.0,68.0,18.7,58.3,6.4,57.6,alluvial,kharif,irrigated,Telangana
barley,cereal,104.0,50.0,40.0,17.1,61.9,7.2,48.3,sandy,rabi,rainfed,Rajasthan
maize,cereal,83.0,38.0,37.0,29.6,71.9,5.93,92.6,red,rabi,irrigated,Madhya Pradesh
sapota,horticulture,35.0,26.0,37.0,31.5,68.1,7.39,155.9,laterite,kharif,irrigated,Gujarat
brinjal,vegetable,45.0,53.0,61.0,32.8,74.5,6.7,128.7,alluvial,rabi,irrigated,Andhra Pradesh
turmeric,spice,78.0,68.0,66.0,30.9,67.2,6.59,142.8,red,kharif,rainfed,Telangana
jowar,millet,78.0,39.0,34.0,29.8,61.8,7.41,56.3,loamy,kharif,irrigated,Karnataka
cauliflower,vegetable,94.0,74.0,66.0,16.1,86.8,7.16,159.9,alluvial,rabi,rainfed,Maharashtra
sesame,oilseed,41.0,23.0,31.0,32.4,58.8,6.95,53.2,loamy,kharif,rainfed,Tamil Nadu
horsegram,pulse,27.0,41.0,29.0,23.4,52.8,5.99,63.8,laterite,kharif,irrigated,Tamil Nadu
watermelon,horticulture,39.0,45.0,71.0,32.2,70.4,6.67,50.7,sandy,zaid,irrigated,Tamil Nadu
ginger,spice,52.0,60.0,55.0,22.3,68.7,7.29,187.4,alluvial,kharif,rainfed,Meghalaya
maize,cereal,76.0,51.0,50.0,30.2,59.6,6.98,109.1,loamy,kharif,rainfed,Bihar
cabbage,vegetable,94.0,74.0,47.0,10.4,71.6,6.42,128.2,alluvial,rabi,irrigated,West Bengal
greengram,pulse,31.0,44.0,37.0,30.5,69.6,6.67,78.9,alluvial,zaid,rainfed,Karnataka
blackgram,pulse,37.0,53.0,27.0,33.4,75.0,6.43,105.0,alluvial,rabi,irrigated,Tamil Nadu
banana,horticulture,99.0,48.0,114.0,21.2,80.5,6.42,188.5,red,kharif,rainfed,Gujarat
ginger,spice,86.0,50.0,47.0,20.1,71.5,6.71,140.5,loamy,kharif,rainfed,Arunachal Pradesh
greengram,pulse,30.0,38.0,24.0,28.9,72.1,7.44,102.2,red,zaid,rainfed,Rajasthan
maize,cereal,89.0,38.0,53.0,22.5,67.7,5.64,128.2,red,kharif,rainfed,Andhra Pradesh
sapota,horticulture,20.0,25.0,34.0,27.3,84.0,6.02,180.1,laterite,kharif,rainfed,Tamil Nadu
sunflower,oilseed,68.0,85.0,71.0,27.0,76.1,7.82,75.2,alluvial,rabi,irrigated,Karnataka
tapioca,horticulture,87.0,55.0,122.0,22.9,72.0,6.85,110.7,laterite,kharif,rainfed,Karnataka
tea,plantation,28.0,28.0,32.0,19.2,88.6,5.88,340.9,laterite,kharif,irrigated,Assam
jowar,millet,75.0,43.0,53.0,24.5,52.0,6.53,94.9,red,kharif,rainfed,Andhra Pradesh
kidneybeans,pulse,21.0,69.0,41.0,20.7,61.1,6.04,86.2,alluvial,kharif,rainfed,Himachal Pradesh
cowpea,pulse,15.0,38.0,20.0,29.2,79.8,6.89,84.1,sandy,kharif,irrigated,Maharashtra
ragi,millet,74.0,33.0,44.0,23.1,72.4,6.42,79.2,red,kharif,rainfed,Karnataka
jowar,millet,38.0,19.0,34.0,24.5,40.3,7.78,48.3,black,rabi,rainfed,Maharashtra
pigeonpeas,pulse,38.0,64.0,30.0,33.6,51.1,6.25,120.3,alluvial,kharif,irrigated,Uttar Pradesh
barley,cereal,88.0,39.0,33.0,12.2,65.5,7.61,56.7,loamy,rabi,rainfed,Madhya Pradesh
onion,vegetable,47.0,34.0,59.0,16.8,76.2,6.84,74.0,black,rabi,rainfed,Rajasthan
maize,cereal,96.0,53.0,62.0,24.1,86.2,6.07,119.9,alluvial,rabi,rainfed,Andhra Pradesh
banana,horticulture,85.0,83.0,116.0,28.3,94.7,5.8,123.5,red,kharif,irrigated,Maharashtra
cocoa,plantation,22.0,28.0,60.0,35.7,78.3,6.43,268.3,alluvial,kharif,rainfed,Karnataka
pomegranate,horticulture,24.0,31.0,36.0,37.7,50.8,6.75,61.2,alluvial,kharif,rainfed,Gujarat
jowar,millet,77.0,26.0,46.0,31.9,35.6,7.71,47.4,red,rabi,irrigated,Maharashtra
tobacco,cash,60.0,51.0,36.0,31.6,74.7,5.61,85.3,loamy,rabi,irrigated,Karnataka
pepper,spice,31.0,22.0,95.0,28.0,88.5,6.96,358.9,laterite,kharif,rainfed,Assam
coconut,plantation,42.0,24.0,72.0,21.4,81.4,7.54,185.0,sandy,kharif,irrigated,West Bengal
marigold,flower,53.0,49.0,52.0,14.2,64.2,6.44,70.7,loamy,rabi,irrigated,Tamil Nadu
wheat,cereal,150.0,57.0,42.0,21.7,55.1,6.51,46.4,black,rabi,rainfed,Rajasthan
cardamom,spice,34.0,36.0,31.0,23.6,82.6,6.43,345.9,loamy,kharif,irrigated,Tamil Nadu
maize,cereal,92.0,41.0,59.0,20.9,66.9,6.72,84.4,loamy,rabi,irrigated,Rajasthan
blackgram,pulse,30.0,28.0,22.0,27.8,82.0,7.03,92.9,loamy,rabi,rainfed,Maharashtra
orange,horticulture,35.0,17.0,20.0,29.3,69.6,7.08,132.8,loamy,rabi,rainfed,Assam
arecanut,plantation,41.0,22.0,78.0,33.3,76.6,7.16,250.6,alluvial,kharif,rainfed,Karnataka
arecanut,plantation,32.0,15.0,81.0,31.1,89.4,7.2,219.7,alluvial,kharif,rainfed,Tamil Nadu
chickpea,pulse,22.0,65.0,37.0,15.4,50.0,6.61,66.4,loamy,rabi,rainfed,Karnataka
ginger,spice,65.0,45.0,53.0,24.8,74.6,5.85,210.6,laterite,kharif,rainfed,Karnataka
ragi,millet,94.0,46.0,57.0,18.9,79.5,5.66,68.9,loamy,kharif,rainfed,Andhra Pradesh
coffee,plantation,83.0,40.0,44.0,23.6,86.0,6.67,215.2,red,kharif,rainfed,Karnataka
barley,cereal,64.0,50.0,43.0,15.7,69.5,7.2,43.7,loamy,rabi,rainfed,Madhya Pradesh
tapioca,horticulture,60.0,31.0,133.0,28.1,78.6,6.4,207.2,laterite,kharif,rainfed,Andhra Pradesh
ginger,spice,46.0,55.0,71.0,31.1,81.9,7.29,139.6,laterite,kharif,rainfed,Kerala
maize,cereal,103.0,36.0,72.0,20.4,61.1,6.61,110.8,red,kharif,irrigated,Madhya Pradesh
rubber,plantation,35.0,25.0,16.0,21.2,83.7,6.14,288.5,alluvial,kharif,rainfed,Karnataka
ragi,millet,53.0,36.0,41.0,31.3,56.2,6.02,119.2,loamy,kharif,rainfed,Tamil Nadu
orange,horticulture,32.0,24.0,15.0,24.3,66.7,6.53,143.7,alluvial,rabi,irrigated,Nagpur
banana,horticulture,94.0,75.0,83.0,39.2,86.4,6.83,140.1,loamy,kharif,rainfed,Karnataka
jasmine,flower,40.0,43.0,39.0,36.5,78.6,7.14,155.8,sandy,kharif,irrigated,Andhra Pradesh
mango,horticulture,24.0,31.0,57.0,32.9,65.1,5.57,106.5,laterite,kharif,rainfed,Karnataka
tobacco,cash,50.0,39.0,29.0,22.1,73.4,5.63,55.7,alluvial,rabi,rainfed,Gujarat
cashew,plantation,21.0,32.0,20.0,20.9,56.5,5.27,172.3,laterite,kharif,rainfed,Tamil Nadu
greengram,pulse,25.0,40.0,19.0,25.5,60.0,7.05,106.1,red,kharif,irrigated,Rajasthan
greengram,pulse,31.0,39.0,24.0,34.8,57.1,6.47,78.2,loamy,zaid,rainfed,Maharashtra
onion,vegetable,41.0,59.0,59.0,21.2,59.2,6.07,103.4,alluvial,kharif,irrigated,Gujarat
rubber,plantation,29.0,32.0,43.0,30.3,82.3,4.54,228.4,alluvial,kharif,rainfed,Tripura
cotton,cash,87.0,50.0,55.0,25.9,86.4,7.54,113.1,black,kharif,irrigated,Maharashtra
coconut,plantation,21.0,22.0,62.0,39.0,95.4,6.61,249.6,alluvial,kharif,irrigated,West Bengal
papaya,horticulture,62.0,28.0,65.0,33.0,56.2,7.27,145.1,alluvial,kharif,rainfed,Maharashtra
jowar,millet,43.0,25.0,49.0,34.3,34.4,7.36,60.7,loamy,kharif,irrigated,Madhya Pradesh
sugarcane,cash,144.0,62.0,108.0,25.8,82.2,6.54,201.3,alluvial,kharif,rainfed,Karnataka
cashew,plantation,24.0,19.0,11.0,26.8,77.9,6.9,98.6,loamy,kharif,irrigated,Andhra Pradesh
wheat,cereal,154.0,52.0,58.0,10.1,48.4,6.66,72.3,black,rabi,rainfed,Rajasthan
pigeonpeas,pulse,24.0,47.0,40.0,33.2,76.7,6.34,124.5,loamy,kharif,rainfed,Maharashtra
jasmine,flower,40.0,36.0,31.0,28.0,67.1,6.07,113.6,loamy,kharif,rainfed,Karnataka
mango,horticulture,31.0,42.0,64.0,32.1,56.2,6.98,81.6,loamy,kharif,rainfed,Uttar Pradesh
tomato,vegetable,83.0,58.0,76.0,27.4,52.6,6.87,124.4,red,rabi,irrigated,Andhra Pradesh
rose,flower,71.0,44.0,46.0,22.1,59.0,6.85,97.4,alluvial,rabi,rainfed,Tamil Nadu
jute,cash,67.0,38.0,47.0,24.5,75.1,6.43,144.5,loamy,kharif,rainfed,Meghalaya
pineapple,horticulture,46.0,22.0,41.0,33.2,73.0,4.51,105.7,loamy,kharif,rainfed,Manipur
groundnut,cash,14.0,51.0,44.0,24.8,72.5,6.67,109.0,loamy,kharif,irrigated,Gujarat
onion,vegetable,65.0,36.0,62.0,16.0,80.9,6.05,105.0,alluvial,rabi,rainfed,Maharashtra
cocoa,plantation,24.0,29.0,34.0,27.5,89.6,6.9,154.1,loamy,kharif,irrigated,Andhra Pradesh
papaya,horticulture,73.0,43.0,53.0,36.3,84.5,6.8,105.0,sandy,kharif,irrigated,Gujarat
cabbage,vegetable,113.0,62.0,62.0,21.3,83.9,6.62,95.0,alluvial,rabi,rainfed,Bihar
orange,horticulture,33.0,31.0,19.0,27.6,68.5,5.64,111.5,loamy,rabi,irrigated,Nagpur
coriander,spice,29.0,47.0,40.0,24.4,40.4,6.94,65.1,alluvial,rabi,irrigated,Madhya Pradesh
papaya,horticulture,51.0,47.0,51.0,33.1,70.6,6.39,107.7,loamy,kharif,irrigated,Karnataka
ginger,spice,78.0,29.0,71.0,19.6,64.5,5.51,170.6,loamy,kharif,irrigated,Odisha
orange,horticulture,34.0,18.0,21.0,27.8,60.3,6.59,135.8,laterite,rabi,rainfed,Rajasthan
jasmine,flower,55.0,36.0,38.0,18.5,63.3,6.93,81.5,sandy,kharif,rainfed,Maharashtra
sunflower,oilseed,94.0,80.0,58.0,29.8,76.3,6.24,82.0,loamy,kharif,rainfed,Bihar
marigold,flower,47.0,58.0,62.0,14.1,70.9,6.95,61.7,alluvial,kharif,irrigated,Rajasthan
grapes,horticulture,31.0,25.0,36.0,32.0,63.6,7.09,95.4,loamy,rabi,irrigated,Andhra Pradesh
turmeric,spice,79.0,46.0,69.0,28.5,68.1,5.29,206.0,loamy,kharif,rainfed,Telangana
mango,horticulture,38.0,26.0,56.0,30.9,70.1,7.37,171.8,loamy,kharif,irrigated,Uttar Pradesh
tomato,vegetable,52.0,40.0,63.0,21.8,78.9,6.72,125.7,loamy,rabi,irrigated,Odisha
chickpea,pulse,43.0,63.0,34.0,14.5,48.7,6.95,83.7,alluvial,rabi,irrigated,Madhya Pradesh
mango,horticulture,21.0,39.0,54.0,24.3,40.3,7.35,74.5,loamy,kharif,irrigated,Bihar
cowpea,pulse,23.0,51.0,20.0,34.2,68.6,6.85,102.6,sandy,kharif,irrigated,Karnataka
groundnut,cash,18.0,66.0,65.0,32.0,57.7,6.64,116.7,red,kharif,rainfed,Karnataka
horsegram,pulse,22.0,40.0,18.0,32.5,59.1,6.2,60.0,red,kharif,irrigated,Andhra Pradesh
papaya,horticulture,57.0,29.0,65.0,38.1,60.3,6.95,160.3,loamy,kharif,irrigated,Tamil Nadu
tea,plantation,42.0,15.0,23.0,26.0,95.7,4.7,341.5,loamy,kharif,irrigated,Kerala
rice,cereal,110.0,52.0,62.0,21.9,83.6,6.45,229.5,clay,kharif,rainfed,Assam
sesame,oilseed,29.0,34.0,26.0,29.0,50.4,7.75,82.6,red,kharif,rainfed,Tamil Nadu
cardamom,spice,27.0,15.0,43.0,17.2,73.9,5.49,416.3,loamy,kharif,irrigated,Karnataka
mustard,oilseed,69.0,49.0,36.0,19.7,64.8,7.47,41.7,loamy,rabi,rainfed,Madhya Pradesh
rubber,plantation,28.0,19.0,41.0,30.3,93.1,4.54,365.7,loamy,kharif,rainfed,Tripura
turmeric,spice,68.0,72.0,63.0,31.0,76.9,6.24,214.3,red,kharif,rainfed,Odisha
rubber,plantation,27.0,27.0,19.0,33.2,76.9,6.27,222.4,loamy,kharif,rainfed,Assam
cauliflower,vegetable,81.0,72.0,73.0,12.3,68.2,6.84,110.9,alluvial,rabi,irrigated,Maharashtra
cabbage,vegetable,104.0,41.0,51.0,16.6,81.2,7.22,123.5,clay,rabi,rainfed,Odisha
grapes,horticulture,19.0,28.0,30.0,30.9,79.4,6.77,71.7,black,rabi,irrigated,Tamil Nadu
tobacco,cash,35.0,44.0,50.0,18.4,61.7,6.45,91.8,sandy,rabi,rainfed,Telangana
